Name,Address,Type,Phone Number,Number of Clients,Notes,Source
Headquarters,"2625 Zanker Road, San Jose, CA 95134",HQ,4084680100,,,Juniel
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Dahl Elementary Family Resouce Center,"3200 Water St, San Jose, CA 95111",Family Resource Center,4083614285,,,Juniel
,,,,,,
,,,,,,
First Five D 4 - Luther Burbank,"4 Wabash Ave, San Jose, CA 95128",Family Resource Center,,,,Juniel
,,,,,,
Northwood Family Resource Center,"2760 Trimble Rd #700, San Jose, CA 95132",Family Resource Center,,,,Juniel
,,,,,,
Rita Chavez-Medina Family Resource Center,"2000 Kammerer Ave, San Jose, CA 95116",Family Resource Center,,,,Juniel
Evergreen Family Resource Center,"3010 Fowler Rd, San Jose, CA 95135",Family Resource Center,,,,Juniel
San Miguel Family Resource Center,"777 San Miguel Avenue, Sunnyvale, CA 94085",Family Resource Center,,,,Juniel
Josephine Guerrero Family Resource Center,"1300 Edsel Drive, Milpitas, CA 95035",Family Resource Center,,,,Juniel
Seven Trees Family Resource Center,"3975 Mira Loma Way, San Jose, CA 95111",Family Resource Center,,,,Juniel
,,,,,,
Franklin McKinley Children's Initiative (FMCI),"1602, Lucretia Ave, San Jose, CA 95122",Family Resource Center,,,,Juniel
Sherman Oaks,"1800 Fruitdale Ave, San Jose, CA 95128",Family Resource Center,,,,Juniel
Kinship Resource,"1908 Senter Road Suite 50, San Jose 95112",Family Resource Center,,,,Juniel
Kinship Resource John XXIII,"195 E. San Fernando, San Jose 95112",Family Resource Center,,,Also a Senior Program,Juniel
Washington United Youth Center (WYUC),"921 S 1st St B, San Jose, CA 95110",Family Resource Center,,,Also a Youth Center,Juniel
,,,,,,
,,,,,,
,,,,,,
,,,,,,
The Window and John XXIII Multipurpose Center,"195 E.. San Fernando Street, San Jose CA 95112",Essential,,,,
East Side Nutrition Center,"2150 Alum Rock Ave, San Jose CA 95116",Essential,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Our Lady of Refuge Parish,"2165 Lucretia Ave, San Jose, CA 95122",Parish,,,,
Saint John Vianney Parish,"4600 Hyland Ave, San Jose, CA 95127",Parish,,,,
Santa Teresa Parish,"794 Calero Ave, San Jose, CA 95123",Parish,,,,
Saint Maria Goretti Parish,"2980 Senter Rd, San Jose, CA 95111",Parish,,,,
Saint Athanasius Parish,"160 N Rengstorff Ave, Mountain View, CA 94043",Parish,,,,
Saint Lucy Parsh,"2350 S. Winchester Blvd, Campbell CA 95008",Parish,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
